test,sample1,sample1,sample1,sample2,sample2,sample2,sample3,sample3,R=10mm,H=26.7mm,t=0.56mm
dv (ml),p (kpa),p2,p3,p1,p2,p3,p2,p3,,,
0.764444444,-0.648011488,-0.915879898,-0.975206159,-0.63961558,-1.240450639,-0.841393563,-0.580361673,-0.655361365,,,
0.768888889,-0.972507905,-1.039117663,-0.84488127,-0.583710906,-1.561531464,-1.563898663,-0.256387879,-0.260649777,,,
0.773333333,-0.718557807,-0.908661265,-1.165764732,-0.512907392,-1.501100416,-0.916011142,-0.517037656,-0.386967184,,,
0.777777778,-0.390974666,-0.915879898,-0.848486948,-0.974291839,-1.113731428,-1.17639843,-0.647362544,-0.450221535,,,
0.782222222,-0.718557807,-1.300030458,-0.848486948,-0.974291839,-1.501100416,-0.845207627,-0.580361673,-0.908792774,,,
0.786666667,-1.042599108,-1.300030458,-0.714556382,-0.910896849,-0.916540648,-1.17639843,-0.457576157,-0.781949331,,,
0.791111111,-1.236576621,-1.106054569,-1.045479247,-0.840623761,-0.979800862,-1.433573774,-0.647362544,-0.915748653,,,
0.795555556,-0.711463401,-1.042599108,-1.363093906,-0.63961558,-1.501100416,-0.778073359,-0.647362544,-1.042599108,,,
0.8,-0.648011488,-0.915879898,-1.169052229,-0.646973003,-1.303906099,-1.306592075,-0.517037656,-0.781949331,,,
0.804444444,-0.390974666,-1.039117663,-1.165764732,-0.780768728,-1.236969194,-0.785817497,-0.509541164,-0.260649777,,,
0.808888889,-0.778467886,-0.785686253,-1.369261525,-0.583710906,-1.169964709,-1.433573774,-0.908012321,-0.651624443,,,
0.813333333,-0.521299554,-1.363679933,-1.235855936,-0.974291839,-1.300486961,-1.105988847,-0.650968222,-0.651624443,,,
0.817777778,-0.711463401,-1.306460831,-0.968236234,-0.646973003,-1.431009213,-0.916011142,-0.256387879,-0.785555009,,,
0.822222222,-0.461838055,-0.91227422,-0.978680592,-0.576229521,-1.110125751,-1.232960319,-0.710752283,-0.71494846,,,
0.826666667,-0.715014181,-1.433573774,-0.714556382,-0.453517262,-1.243925073,-1.433573774,-0.576679251,-0.52516772,,,
0.831111111,-0.908924284,-1.112872196,-1.169052229,-0.710298873,-1.113731428,-1.36348257,-0.457576157,-0.450221535,,,
0.835555556,-0.722094298,-1.303248886,-0.785223004,-0.63961558,-1.374118717,-1.299898949,-0.650968222,-0.52516772,,,
0.84,-0.521299554,-0.972113178,-0.84488127,-1.101273539,-1.310723727,-1.306592075,-0.319580453,-1.042599108,,,
0.844444444,-0.841985653,-0.982744075,-0.714556382,-0.910896849,-1.110125751,-1.042599108,-0.908012321,-0.580743786,,,
