Test ,2folds_sample2_20220701_1753,2folds_sample2_20220701_1747,2folds_sample2_20220701_1743,2folds_sample1_20220701_1737,2folds_sample1_20220701_1723,2folds_sample0_20220701_1719,2folds_sample0_20220701_1713
dV (ml),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa)
1.14,-2.935204867,-2.737147233,-2.540353831,-2.473880451,-1.888334662,-1.952904666,-2.413836309
1.145,-2.609584689,-2.280292993,-2.931920586,-2.410089201,-2.541205656,-2.538190478,-2.284361794
1.15,-2.544161131,-2.671464823,-2.86682232,-2.47440347,-2.410815046,-2.147018648,-2.61030326
1.155,-2.282593609,-2.801855433,-2.607084832,-1.951791444,-2.019643216,-1.952904666,-2.413836309
1.16,-2.544161131,-2.280292993,-2.345847994,-2.60479408,-2.410815046,-2.342898537,-2.674617529
1.165,-2.413115861,-2.671855411,-2.540353831,-2.21362225,-2.671596266,-2.147018648,-2.675139494
1.17,-2.869846637,-2.866759719,-2.670876083,-2.21362225,-2.541205656,-1.885187842,-2.218741533
1.175,-2.479846862,-2.541074213,-2.410617882,-2.148852362,-2.019643216,-2.016628038,-2.349915971
1.18,-2.544161131,-2.280292993,-2.671399101,-2.149701912,-2.280424436,-2.213291954,-2.284361794
1.185,-2.804682616,-2.671464823,-2.605320091,-1.95284103,-2.345847994,-2.472766689,-2.283445699
1.19,-2.347493948,-2.802114645,-2.410617882,-2.47440347,-2.280424436,-2.407276849,-2.349066421
1.195,-2.674551741,-2.671464823,-2.410617882,-2.410089201,-1.694223551,-2.147018648,-2.61030326
1.2,-2.47808212,-2.474995202,-2.671399101,-1.95284103,-2.150687167,-2.602897202,-2.284361794
1.205,-2.739258465,-2.541074213,-2.476172883,-1.95284103,-2.020427934,-2.147803366,-2.022664479
1.21,-2.283379911,-2.801855433,-2.801789711,-2.21362225,-2.344933597,-2.343485599,-2.675139494
1.215,-2.47808212,-2.3465663,-2.73682266,-2.34401286,-2.280946401,-1.952904666,-2.088416644
1.22,-2.805201563,-2.411336944,-2.8021803,-2.47440347,-2.020427934,-2.147018648,-2.805008139
1.225,-2.935332961,-2.476172883,-2.931920586,-1.95284103,-2.020427934,-2.080544512,-2.675139494
1.23,-2.870234467,-2.345847994,-2.801789711,-2.343358199,-1.888334662,-2.212573649,-2.805008139
1.235,-2.935204867,-2.410683603,-2.931920586,-2.409502139,-2.279901417,-2.408321833,-2.674617529
1.24,-2.674551741,-2.410028942,-2.8021803,-2.473880451,-2.085916522,-1.951923872,-2.153055089
1.245,-2.870234467,-2.605583375,-2.997084608,-1.888202585,-1.95316908,-2.081397496,-2.413836309
