p [kPa],Beta1 (deg),Beta2 (deg)
2.3194,38.12012094,27.40881989
2.3232,38.2779343,27.61893732
2.3269,38.42807667,27.65263079
2.3307,38.45428196,27.84016081
2.3344,38.60903172,27.90033739
2.3382,38.66858129,28.16517956
2.3420,38.8089411,28.18310606
2.3457,38.88082799,28.32280568
2.3495,39.04125682,28.43152226
2.3532,39.09860479,28.62076076
2.3570,39.20994585,28.66993203
2.3607,39.33352823,28.90958506
2.3645,39.45165147,28.97334172
2.3682,39.56705752,29.21471313
2.3720,39.70952624,29.28863633
2.3757,39.73279001,29.4610297
2.3795,39.80171218,29.46993669
2.3832,39.91479075,29.73974178
2.3870,40.11242313,29.7494068
2.3907,40.21513204,29.91540692
2.3945,40.29613878,30.04368538
2.3982,40.36379337,30.23583557
2.4020,40.50448048,30.21973589
2.4058,40.58499928,30.52010591
2.4095,40.74666346,30.51957158
2.4133,40.83577775,30.78122503
2.4170,40.89089677,30.77602906
2.4208,41.02396297,30.97243198
2.4245,41.15457707,30.95696308
2.4283,41.14725357,31.19518758
2.4320,41.3306869,31.23114921
2.4358,41.45258431,31.45026465
2.4395,41.56571745,31.51174918
2.4433,41.51321422,31.69657202
2.4470,41.7804512,31.7610278
2.4508,41.8498958,31.99632024
2.4545,41.95733136,31.97149812
2.4583,42.02405704,32.04698048
2.4621,42.14603309,32.13231029
2.4658,42.24773325,32.34505567
2.4696,42.3607445,32.3553467
2.4733,42.42782776,32.51214061
2.4771,42.58435111,32.51398037
2.4808,42.79942588,32.76667179
2.4846,42.77841955,32.71555732
2.4883,43.04904811,32.96113542
2.4921,42.97292241,32.91727841
2.4958,43.13386787,33.12190884
2.4996,43.30117382,33.09682495
2.5033,43.30117382,33.40748704
2.5071,43.35782798,33.33455144
2.5108,43.51237713,33.59201797
2.5146,43.69154008,33.53454832
2.5183,43.69379015,33.71492216
2.5221,43.84735589,33.77529987
2.5259,44.00245333,33.96609729
2.5296,44.06887497,33.87655834
2.5334,44.19253927,34.09148354
2.5371,44.23204811,34.03230445
2.5409,44.47110873,34.18616896
2.5446,44.43462736,34.22587855
2.5484,44.60044616,34.36505161
2.5521,44.68641685,34.349933
2.5559,44.80330038,34.44025005
2.5596,44.97350388,34.40846465
2.5634,45.11992865,34.56055571
2.5671,45.08026364,34.54073419
2.5709,45.26707642,34.54223271
2.5746,45.29833592,34.60244504
2.5784,45.38892782,34.59064625
2.5822,45.48301883,34.48196226
2.5859,45.75803972,34.55237126
2.5897,45.76247716,34.4870762
2.5934,45.76442316,34.53402009
2.5972,45.97051947,34.62583752
2.6009,46.0422965,34.66267103
2.6047,46.22275725,34.60916105
2.6084,46.28285826,34.80543492
2.6122,46.38037625,34.78675391
2.6159,46.48482068,35.02588916
2.6197,46.58602498,34.97230311
2.6234,46.78684235,34.97011779
2.6272,46.77417601,35.17807513
2.6309,47.11213258,35.18340505
2.6347,47.06255817,35.26565391
2.6384,47.20934618,35.40574484
2.6422,47.26244224,35.45784787
2.6460,47.40954428,35.51144277
2.6497,47.48681682,35.69231719
2.6535,47.6626923,35.79361117
2.6572,47.6876804,35.86251756
2.6610,47.89440531,36.03292081
2.6647,47.89330336,36.13311224
2.6685,48.01032639,36.16125166
2.6722,48.10724313,36.34592435
2.6760,48.29694564,36.43647353
2.6797,48.36803722,36.54468053
2.6835,48.54377551,36.63974349
2.6872,48.49193831,36.77358899
2.6910,48.64681884,36.85330939
2.6947,48.64320191,37.07771303
2.6985,48.83133982,37.11399406
2.7023,48.90898492,37.26590417
2.7060,49.12802172,37.27916389
2.7098,49.15832331,37.50063525
2.7135,49.28159921,37.55743018
2.7173,49.36363024,37.6951509
2.7210,49.51585715,37.77711404
2.7248,49.48320822,37.93137177
2.7285,49.70740232,38.0876045
2.7323,49.74916542,38.18112335
2.7360,49.94734386,38.24616365
2.7398,49.90890812,38.44296597
2.7435,50.11522572,38.5585703
2.7473,50.22888281,38.69638266
2.7510,50.40968866,38.7725111
2.7548,50.3476614,38.95393863
2.7585,50.52175518,39.03596602
2.7623,50.51482113,39.18646368
2.7661,50.73030104,39.22452296
2.7698,50.76471024,39.4453028
2.7736,50.79832339,39.49069241
2.7773,50.93729583,39.72564019
2.7811,51.0104451,39.77102076
2.7848,51.15372645,40.00460553
2.7886,51.22267267,40.05734102
2.7923,51.26337549,40.16420716
2.7961,51.32341304,40.247513
2.7998,51.4731524,40.45929231
2.8036,51.56646132,40.49738009
2.8073,51.73203952,40.81501586
2.8111,51.78317337,40.81502985
2.8148,51.85992118,41.01144755
2.8186,51.83665592,41.10204919
2.8224,52.1356561,41.29863033
2.8261,52.2752606,41.32915799
2.8299,52.2841599,41.48170451
2.8336,52.40823296,41.56406929
2.8374,52.44053123,41.69353634
2.8411,52.58897556,41.73203589
2.8449,52.61857846,41.85981736
2.8486,52.7893978,41.98929556
2.8524,52.8567702,42.22890411
2.8561,53.05806021,42.25874014
2.8599,53.06577454,42.46339591
2.8636,53.22184619,42.51745233
2.8674,53.28140517,42.70673155
2.8711,53.44538587,42.69262874
2.8749,53.44519215,42.85904642
2.8786,53.65355159,42.96202509
2.8824,53.56472712,43.14389428
2.8862,53.77350017,43.26014083
2.8899,53.81044536,43.50202791
2.8937,53.92310575,43.54369941
2.8974,54.01794104,43.65803825
2.9012,54.09315612,43.76449866
2.9049,54.19007234,44.00515757
2.9087,54.43101214,44.02540576
2.9124,54.38424737,44.2893025
2.9162,54.45995543,44.28221678
2.9199,54.51199738,44.43418556
2.9237,54.60875176,44.5499826
2.9274,54.78725917,44.74699478
2.9312,54.85411757,44.75716392
2.9349,55.0396709,45.05646729
2.9387,55.18284528,45.04704629
2.9425,55.24093599,45.16422997
2.9462,55.25837636,45.30460066
