beta2(deg),beta3_1(deg),beta3_2(deg),p_avervage (kpa)
3.088987629,4.189909567,3.585326977,-1.479
3.113561636,4.209728165,3.59911626,-1.153
3.133461816,4.231248682,3.618663364,-1.131
3.144275975,4.249034602,3.652126105,-0.978
3.149489469,4.26990409,3.69046377,-0.892
3.150811545,4.2959556,3.728134502,-1.240
3.150334023,4.3282736,3.759032742,-0.936
3.149867415,4.368093877,3.771480604,-1.283
3.151236278,4.410408272,3.773679928,-1.326
3.155414833,4.450910479,3.769175976,-1.088
3.162674046,4.485290291,3.762650401,-1.001
3.171362511,4.504576273,3.759382141,-1.240
3.18308929,4.516582552,3.76193872,-1.153
3.197846195,4.524652931,3.771914384,-1.000
3.215478888,4.532457862,3.789068229,-1.067
3.232649722,4.544671025,3.810629193,-1.065
3.253947515,4.560447037,3.835231843,-0.957
3.280233941,4.579354572,3.860159822,-1.153
3.311185445,4.600160209,3.883041531,-1.305
3.347365022,4.6162586,3.898393306,-1.219
3.382073143,4.634798215,3.91266264,-1.175
3.410632412,4.657570187,3.928868525,-0.957
3.429294865,4.6855611,3.949759594,-1.305
3.429373404,4.719812229,3.977321899,-1.218
3.422589338,4.756566048,4.010867669,-1.067
3.415002924,4.792544329,4.048381936,-1.044
3.412235125,4.82443104,4.086502559,-1.153
3.422947549,4.843844166,4.119625833,-1.348
3.44002201,4.858969062,4.146635881,-1.414
3.459314209,4.872766146,4.165642074,-1.240
3.476095201,4.88783413,4.176128093,-1.414
3.478677012,4.908142058,4.174592755,-1.522
3.478097746,4.929417134,4.170925829,-1.196
3.478744594,4.948960671,4.170732154,-1.305
3.484967999,4.96406749,4.178525154,-1.065
3.503619974,4.965788007,4.199567981,-1.219
3.529254389,4.965683227,4.228876659,-1.110
3.558545543,4.968719632,4.262449692,-1.370
3.587384765,4.97917128,4.295602995,-1.153
3.60721262,5.002370773,4.317217898,-1.109
3.623576507,5.033464067,4.33639094,-1.348
3.638362922,5.068594174,4.356142664,-1.348
3.654142699,5.103061424,4.379447645,-1.001
3.672205549,5.126638752,4.411330902,-1.500
3.696241867,5.146280467,4.446811243,-1.327
3.727303274,5.164143051,4.482767827,-1.305
3.764558764,5.182886915,4.515655244,-1.196
3.807530764,5.20414576,4.536850367,-1.392
3.848781214,5.23025274,4.553911233,-1.131
3.883011756,5.261358682,4.569554586,-1.261
3.906381823,5.295930859,4.586510568,-1.218
3.907747455,5.329507551,4.605889129,-1.023
3.904449016,5.360806884,4.629237565,-1.044
3.904801902,5.386844833,4.655560632,-1.154
3.915332783,5.405214284,4.682109543,-1.326
3.948612644,5.41165716,4.706112703,-1.174
3.986625672,5.411776081,4.721648357,-1.240
4.018698112,5.409395195,4.725071269,-1.306
4.034767684,5.409029005,4.715254408,-1.349
4.014619366,5.410349139,4.684488889,-1.153
3.979839662,5.424088201,4.653998028,-1.414
3.942005129,5.453807071,4.635803717,-1.218
3.913542423,5.499362151,4.639508457,-1.479
3.912771108,5.562001784,4.679284264,-1.131
3.931689592,5.625691256,4.738420522,-1.218
3.966130534,5.679031371,4.805533406,-1.305
4.008899728,5.712954355,4.868222422,-1.348
4.044236062,5.708330637,4.901171781,-1.261
4.077364244,5.690844196,4.923140939,-1.239
4.107183892,5.674510141,4.940784274,-1.087
4.133749921,5.672632575,4.961221891,-1.261
4.157873525,5.705771027,5.000234784,-1.327
4.180145954,5.757471913,5.04162272,-1.240
4.201031982,5.817818654,5.077699681,-1.109
4.220470841,5.874814063,5.100944034,-1.349
4.237080915,5.903289795,5.092809324,-1.436
4.251242942,5.920337464,5.075022007,-1.370
4.262463059,5.931738941,5.0581435,-1.392
4.270547528,5.94464175,5.0526191,-1.326
4.271784501,5.971153998,5.073219086,-1.457
4.273975746,6.005330249,5.111234556,-1.132
4.2807956,6.044589581,5.161069459,-1.305
4.295054303,6.084690121,5.214701651,-1.392
4.318154142,6.113278097,5.255605693,-1.457
4.349127424,6.13924299,5.29063594,-1.348
4.385423037,6.164231034,5.32014466,-1.348
4.423264196,6.189826625,5.345778424,-1.436
4.45607249,6.218154884,5.369791203,-1.392
4.484017923,6.247161745,5.393646431,-1.457
4.505760999,6.275307867,5.418137522,-1.479
4.521125527,6.30090279,5.442930683,-1.326
4.527970533,6.316522808,5.464675661,-1.392
4.533369963,6.331832686,5.484558274,-1.348
4.541369037,6.350357322,5.501397775,-1.457
4.555164314,6.374684163,5.514074315,-1.261
4.576745913,6.406059049,5.518782747,-1.218
4.605171569,6.442570901,5.520970991,-1.435
4.638177514,6.480967881,5.523451987,-1.218
4.67241659,6.517018534,5.529154548,-1.305
4.700312605,6.541994651,5.538379243,-1.240
4.725267513,6.560192457,5.556445424,-1.457
4.747256694,6.572495263,5.584996992,-1.240
4.766644523,6.580788809,5.623811436,-1.327
4.78275914,6.585234618,5.668500811,-1.544
4.79788155,6.592457614,5.718787421,-1.370
4.812783909,6.60620939,5.770799283,-1.261
4.827713368,6.629059585,5.819830371,-1.326
4.840516926,6.658104427,5.860166999,-1.370
4.853596944,6.698620216,5.889510309,-1.674
4.867103201,6.749845459,5.906150671,-1.370
4.880906941,6.808726444,5.910505942,-1.240
4.892538773,6.871904273,5.89813643,-1.305
4.905438332,6.931296327,5.885014296,-1.435
4.920735881,6.981046079,5.879932871,-1.414
4.939313141,7.017701718,5.889442854,-1.479
4.958850679,7.028391287,5.921106814,-1.240
4.983813507,7.037409527,5.96535985,-1.414
5.014908398,7.056829434,6.014411692,-1.370
5.051525751,7.095841886,6.059620892,-1.566
5.091473463,7.169351591,6.083168371,-1.674
5.132021223,7.25582872,6.098413853,-1.522
5.169699849,7.340977929,6.110412359,-1.544
5.201280282,7.410422604,6.124954142,-1.631
5.219259739,7.435288066,6.150768735,-1.522
5.23125018,7.4416714,6.18372432,-1.501
5.240407445,7.441839855,6.221504621,-1.435
5.249754646,7.449177748,6.260390521,-1.761
5.262907824,7.483624053,6.290437201,-1.435
5.278157189,7.535521552,6.318385768,-1.153
5.294271583,7.599427283,6.345694958,-1.500
5.309642317,7.66658275,6.374177742,-1.609
5.317140655,7.717181824,6.401461169,-1.457
5.325994637,7.76002111,6.434540607,-1.348
5.339757708,7.79545165,6.474683252,-1.349
5.36128864,7.825335516,6.520572643,-1.609
5.39207171,7.850973834,6.571474374,-1.240
5.43114301,7.876928717,6.616445565,-1.696
5.475797984,7.905650698,6.647812961,-1.196
5.521913975,7.93813509,6.660295035,-1.370
5.562483776,7.971905273,6.641159307,-1.479
5.59702338,8.008003819,6.613168424,-1.392
5.623692667,8.044611924,6.590076136,-1.587
5.642071209,8.079557488,6.585070854,-1.435
5.647811679,8.104842491,6.612236636,-1.566
5.652103576,8.129470751,6.667662989,-1.587
5.660622312,8.156512723,6.746239489,-1.587
5.677462967,8.188430834,6.83831949,-1.696
5.707321555,8.225462153,6.926937258,-1.544
5.743405414,8.268547925,7.008790818,-1.805
5.78022895,8.316087354,7.077378526,-1.805
5.812017627,8.365231345,7.129324374,-1.348
5.825139939,8.40769453,7.157467458,-1.739
5.832733336,8.448184737,7.177070316,-1.587
5.840235991,8.486702747,7.197215824,-1.587
5.853048785,8.52332437,7.225581365,-1.501
5.879117233,8.554711031,7.272331683,-1.457
5.912918719,8.586211809,7.327767931,-1.718
5.950982235,8.619235211,7.384989644,-1.500
5.988847592,8.654239855,7.436248318,-1.718
6.013331987,8.686953683,7.461053515,-1.435
6.036325391,8.721681509,7.479480854,-1.457
6.061171243,8.757969811,7.498989138,-1.674
6.090513386,8.794311405,7.52634724,-1.761
6.129679724,8.825873114,7.574343722,-1.652
6.170360331,8.854568711,7.628624632,-1.392
6.207612034,8.879864706,7.681354005,-1.457
6.237023909,8.901762258,7.724873512,-1.457
6.243944642,8.914558262,7.738767956,-1.739
6.248462312,8.930259667,7.747248108,-1.739
6.259327201,8.95402397,7.76116818,-1.565
