dV/V0,beta_1 (deg),beta_2 (deg),beta_3 (deg)
0.690748899,43.77438014,43.27532288,45.9136206
0.692511013,43.86936376,43.52397935,46.07081624
0.694273128,44.19569134,43.84412368,46.34863283
0.696035242,44.40437143,43.98889637,46.10282336
0.697797357,44.53376698,44.08992649,46.58728433
0.699559471,44.6579905,44.30023919,46.89670945
0.701321586,44.78074748,44.54259368,47.09126014
0.7030837,45.02289511,44.73234255,47.44179284
0.704845815,45.21505413,44.80616904,47.50222125
0.70660793,45.26135571,45.00939275,47.68968211
0.708370044,45.49281378,45.25314548,47.66673026
0.710132159,45.58665664,45.59126186,47.82977746
0.711894273,45.86203494,45.56341486,48.3621604
0.713656388,45.89704181,45.81441685,48.2707694
0.715418502,46.14039678,46.05864869,48.59586208
0.717180617,46.30753745,46.24521753,48.9534613
0.718942731,46.37827329,46.19176544,49.11215762
0.720704846,46.39315138,46.57837717,49.42791073
0.72246696,46.7097462,46.70163803,49.62641867
0.724229075,46.91681448,46.99085104,49.89540149
0.725991189,46.92608775,47.15402109,49.85048364
0.727753304,47.12365589,47.26535322,49.86785208
0.729515419,47.27297414,47.52188327,50.27441693
0.731277533,47.33401534,47.62055267,50.37807106
0.733039648,47.45868951,47.84136072,50.55801695
0.734801762,47.5171443,48.02360363,51.0168184
0.736563877,47.65816229,48.25980263,51.21140305
0.738325991,47.7083713,48.35518394,51.15272174
0.740088106,47.86136842,48.52752373,51.32041027
0.74185022,47.98405956,48.68748672,51.26071611
0.743612335,48.10650837,48.85951173,51.76496324
0.745374449,48.20233759,49.04146164,51.79104178
0.747136564,48.32979765,49.10466276,52.1956356
0.748898678,48.45005867,49.33638358,52.21984495
0.750660793,48.38277341,49.55467153,52.56494611
0.752422907,48.4921601,49.80284113,52.5733762
0.754185022,48.53563577,49.95328011,52.84393412
0.755947137,48.62705512,50.05760912,53.02123603
0.757709251,48.68741324,50.16695891,53.08824925
0.759471366,48.59558588,50.27125583,53.39191525
0.76123348,48.78054772,50.50690618,53.4533576
0.762995595,48.87158037,50.6632788,53.59330604
0.764757709,49.11420869,50.72133689,53.81502999
0.766519824,49.12914135,50.95091254,53.74092683
0.768281938,49.1297925,51.1564332,54.09214993
0.770044053,49.25393997,51.33162297,54.17934144
0.771806167,49.24205542,51.52476835,54.38331413
0.773568282,49.31717757,51.7085478,54.43234615
0.775330396,49.35566434,51.81652876,54.41628518
0.777092511,49.29242329,51.83539799,54.95619122
0.778854626,49.37531551,52.14197978,54.95095822
0.78061674,49.39456329,52.20260129,55.14749989
0.782378855,49.40419086,52.26602245,55.37029372
0.784140969,49.47428073,52.44431329,55.44334894
0.785903084,49.51545256,52.67373296,55.37416114
0.787665198,49.60500827,52.76261787,55.39765835
0.789427313,49.54653635,52.82046246,55.50096773
0.791189427,49.58554885,52.95850897,55.6671674
0.792951542,49.66054069,53.05470674,55.79254405
0.794713656,49.6920457,53.24350454,56.30416507
0.796475771,49.60723511,53.48769402,56.16173165
0.798237885,49.50504448,53.61972923,55.96480259
0.8,49.52957308,53.74881708,56.04954789
