Test,Sample1,Sample2,Sample3,theta=90,t1=0.25mm,t2=0.75mm,H=18mm,R=10mm,flow=0.3ml/min
dv (ml),p (kpa),p (kpa),p (kpa),,,,,,
0.047,-0.206928774,-0.193917175,-0.183135434,,,,,,
0.047166667,-0.180918693,-0.133747498,-0.252154022,,,,,,
0.047333333,-0.150866275,-0.178897525,-0.207092006,,,,,,
0.0475,-0.150866275,-0.232991401,-0.181086009,,,,,,
0.047666667,-0.234960024,-0.133747498,-0.26714441,,,,,,
0.047833333,-0.279888846,-0.232991401,-0.209117258,,,,,,
0.048,-0.219953509,-0.234960024,-0.280171136,,,,,,
0.048166667,-0.261050965,-0.122835026,-0.237148507,,,,,,
0.048333333,-0.180918693,-0.234960024,-0.209117258,,,,,,
0.0485,-0.264927669,-0.150866275,-0.25413081,,,,,,
0.048666667,-0.262991273,-0.167933308,-0.198153041,,,,,,
0.048833333,-0.221934289,-0.204931837,-0.181086009,,,,,,
0.049,-0.264927669,-0.277968516,-0.183135434,,,,,,
0.049166667,-0.204931837,-0.219953509,-0.183135434,,,,,,
0.049333333,-0.291022522,-0.262991273,-0.23515157,,,,,,
0.0495,-0.165900062,-0.234960024,-0.239141418,,,,,,
0.049666667,-0.150866275,-0.178897525,-0.207092006,,,,,,
0.049833333,-0.236924677,-0.178897525,-0.224136909,,,,,,
0.05,-0.261050965,-0.206928774,-0.209117258,,,,,,
0.050166667,-0.30598563,-0.266860165,-0.222127843,,,,,,
0.050333333,-0.251899962,-0.262991273,-0.25413081,,,,,,
0.0505,-0.176872273,-0.262991273,-0.263211134,,,,,,
0.050666667,-0.234960024,-0.206928774,-0.137991645,,,,,,
0.050833333,-0.150866275,-0.279888846,-0.237148507,,,,,,
0.051,-0.249951403,-0.206928774,-0.179032442,,,,,,
0.051166667,-0.264927669,-0.19190811,-0.209117258,,,,,,
0.051333333,-0.261050965,-0.236924677,-0.263211134,,,,,,
0.0515,-0.236924677,-0.246042469,-0.293211006,,,,,,
0.051666667,-0.19190811,-0.232991401,-0.179032442,,,,,,
0.051833333,-0.261050965,-0.251899962,-0.26714441,,,,,,
0.052,-0.180918693,-0.232991401,-0.137991645,,,,,,
0.052166667,-0.204931837,-0.236924677,-0.153054759,,,,,,
0.052333333,-0.261050965,-0.206928774,-0.26714441,,,,,,
0.0525,-0.221934289,-0.217968726,-0.153054759,,,,,,
0.052666667,-0.291022522,-0.19190811,-0.179032442,,,,,,
0.052833333,-0.195922192,-0.178897525,-0.293211006,,,,,,
0.053,-0.249951403,-0.236924677,-0.237148507,,,,,,
0.053166667,-0.204931837,-0.206928774,-0.179032442,,,,,,
0.053333333,-0.19190811,-0.223911077,-0.181086009,,,,,,
0.0535,-0.137882948,-0.180918693,-0.293211006,,,,,,
0.053666667,-0.291022522,-0.234960024,-0.237148507,,,,,,
0.053833333,-0.180918693,-0.152915701,-0.293211006,,,,,,
0.054,-0.178897525,-0.161821241,-0.265179757,,,,,,
0.054166667,-0.221934289,-0.264927669,-0.183135434,,,,,,
0.054333333,-0.180918693,-0.204931837,-0.211138426,,,,,,
0.0545,-0.204931837,-0.262991273,-0.293211006,,,,,,
0.054666667,-0.208921685,-0.107771911,-0.263211134,,,,,,
0.054833333,-0.150866275,-0.161821241,-0.252154022,,,,,,
0.055,-0.204931837,-0.217968726,-0.24818846,,,,,,
0.055166667,-0.204931837,-0.152915701,-0.209117258,,,,,,
0.055333333,-0.232991401,-0.150866275,-0.168102681,,,,,,
0.0555,-0.291022522,-0.176872273,-0.220114717,,,,,,
0.055666667,-0.150866275,-0.122835026,-0.168102681,,,,,,
0.055833333,-0.30598563,-0.167933308,-0.24818846,,,,,,
0.056,-0.221934289,-0.262991273,-0.211138426,,,,,,
0.056166667,-0.135817311,-0.206928774,-0.252154022,,,,,,
0.056333333,-0.261050965,-0.137882948,-0.276262202,,,,,,
0.0565,-0.204931837,-0.178897525,-0.282119695,,,,,,
0.056666667,-0.208921685,-0.208921685,-0.237148507,,,,,,
0.056833333,-0.279888846,-0.206928774,-0.153054759,,,,,,
0.057,-0.195922192,-0.122835026,-0.192040974,,,,,,
0.057166667,-0.204931837,-0.150866275,-0.24818846,,,,,,
0.057333333,-0.234960024,-0.16386271,-0.278218642,,,,,,
0.0575,-0.279888846,-0.217968726,-0.153054759,,,,,,
0.057666667,-0.249951403,-0.135817311,-0.192040974,,,,,,
0.057833333,-0.193917175,-0.221934289,-0.24818846,,,,,,
0.058,-0.249951403,-0.176872273,-0.194082444,,,,,,
0.058166667,-0.246042469,-0.206928774,-0.310108579,,,,,,
0.058333333,-0.221934289,-0.251899962,-0.211138426,,,,,,
0.0585,-0.135817311,-0.204931837,-0.181086009,,,,,,
0.058666667,-0.150866275,-0.261050965,-0.237148507,,,,,,
0.058833333,-0.249951403,-0.221934289,-0.153054759,,,,,,
0.059,-0.193917175,-0.236924677,-0.24818846,,,,,,
0.059166667,-0.178897525,-0.206928774,-0.23515157,,,,,,
0.059333333,-0.193917175,-0.234960024,-0.237148507,,,,,,
0.0595,-0.246042469,-0.234960024,-0.207092006,,,,,,
0.059666667,-0.176872273,-0.137882948,-0.263211134,,,,,,
0.059833333,-0.261050965,-0.206928774,-0.280171136,,,,,,
0.06,-0.208921685,-0.232991401,-0.220114717,,,,,,
0.060166667,-0.274116212,-0.262991273,-0.207092006,,,,,,
0.060333333,-0.135817311,-0.152915701,-0.252154022,,,,,,
0.0605,-0.204931837,-0.277968516,-0.295147402,,,,,,
0.060666667,-0.234960024,-0.122835026,-0.26714441,,,,,,
0.060833333,-0.291022522,-0.148812709,-0.207092006,,,,,,
0.061,-0.193917175,-0.206928774,-0.222127843,,,,,,
0.061166667,-0.234960024,-0.152915701,-0.196119795,,,,,,
0.061333333,-0.208921685,-0.262991273,-0.211138426,,,,,,
0.0615,-0.178897525,-0.262991273,-0.263211134,,,,,,
0.061666667,-0.236924677,-0.178897525,-0.278218642,,,,,,
0.061833333,-0.204931837,-0.221934289,-0.192040974,,,,,,
0.062,-0.319053772,-0.176872273,-0.181086009,,,,,,
0.062166667,-0.304089708,-0.208921685,-0.263211134,,,,,,
0.062333333,-0.234960024,-0.291022522,-0.276262202,,,,,,
0.0625,-0.135817311,-0.221934289,-0.310108579,,,,,,
0.062666667,-0.264927669,-0.176872273,-0.209117258,,,,,,
0.062833333,-0.221934289,-0.206928774,-0.179032442,,,,,,
0.063,-0.279888846,-0.206928774,-0.237148507,,,,,,
0.063166667,-0.180918693,-0.122835026,-0.207092006,,,,,,
0.063333333,-0.279888846,-0.176872273,-0.291270698,,,,,,
0.0635,-0.180918693,-0.19190811,-0.222127843,,,,,,
0.063666667,-0.193917175,-0.195922192,-0.252154022,,,,,,
0.063833333,-0.249951403,-0.150866275,-0.179032442,,,,,,
0.064,-0.30598563,-0.206928774,-0.282119695,,,,,,
0.064166667,-0.291022522,-0.262991273,-0.239141418,,,,,,
0.064333333,-0.261050965,-0.262991273,-0.26714441,,,,,,
0.0645,-0.279888846,-0.262991273,-0.211138426,,,,,,
0.064666667,-0.204931837,-0.208921685,-0.183135434,,,,,,
0.064833333,-0.189894984,-0.165900062,-0.211138426,,,,,,
0.065,-0.234960024,-0.234960024,-0.26714441,,,,,,
0.065166667,-0.277968516,-0.180918693,-0.237148507,,,,,,
0.065333333,-0.148812709,-0.152915701,-0.207092006,,,,,,
0.0655,-0.261050965,-0.236924677,-0.252154022,,,,,,
0.065666667,-0.234960024,-0.165900062,-0.295147402,,,,,,
0.065833333,-0.249951403,-0.176872273,-0.265179757,,,,,,
0.066,-0.204931837,-0.152915701,-0.265179757,,,,,,
0.066166667,-0.234960024,-0.152915701,-0.181086009,,,,,,
0.066333333,-0.264927669,-0.206928774,-0.280171136,,,,,,
0.0665,-0.219953509,-0.122835026,-0.209117258,,,,,,
0.066666667,-0.204931837,-0.232991401,-0.153054759,,,,,,
0.066833333,-0.261050965,-0.176872273,-0.194082444,,,,,,
0.067,-0.279888846,-0.176872273,-0.237148507,,,,,,
0.067166667,-0.195922192,-0.232991401,-0.207092006,,,,,,
0.067333333,-0.234960024,-0.178897525,-0.237148507,,,,,,
0.0675,-0.204931837,-0.193917175,-0.252154022,,,,,,
0.067666667,-0.276044309,-0.234960024,-0.263211134,,,,,,
0.067833333,-0.291022522,-0.180918693,-0.207092006,,,,,,
0.068,-0.262991273,-0.092693581,-0.207092006,,,,,,
0.068166667,-0.150866275,-0.195922192,-0.26714441,,,,,,
0.068333333,-0.234960024,-0.206928774,-0.263211134,,,,,,
0.0685,-0.262991273,-0.232991401,-0.291270698,,,,,,
0.068666667,-0.291022522,-0.217968726,-0.207092006,,,,,,
0.068833333,-0.261050965,-0.176872273,-0.291270698,,,,,,
0.069,-0.289110529,-0.195922192,-0.23515157,,,,,,
0.069166667,-0.264927669,-0.217968726,-0.308188249,,,,,,
0.069333333,-0.234960024,-0.234960024,-0.263211134,,,,,,
