dv (ml),p1 (kpa),p2 (kpa),p3(kpa)
1.32,-0.651624443,-0.981372586,-1.174107579
1.324444444,-0.716328609,-0.980391792,-1.045614748
1.328888889,-1.042599108,-0.851178941,-1.044633954
1.333333333,-0.781098067,-1.436267788,-1.305283731
1.337777778,-0.651624443,-0.589417126,-1.044633954
1.342222222,-0.978415197,-1.044178014,-0.915421104
1.346666667,-0.130324889,-0.589417126,-1.175808392
1.351111111,-0.718158954,-0.850066903,-0.914309066
1.355555556,-0.651624443,-1.175486568,-0.849735748
1.36,-1.042599108,-1.110716681,-1.238942428
1.364444444,-0.520185272,-1.435744769,-0.914309066
1.368888889,-0.520185272,-1.371953519,-1.10933812
1.373333333,-0.91227422,-1.044178014,-0.653659289
1.377777778,-1.10697742,-1.240321814,-0.914309066
1.382222222,-0.521299554,-0.653924128,-1.174958843
1.386666667,-0.976455168,-0.848952621,-0.914309066
1.391111111,-0.717244703,-1.371953519,-1.044633954
1.395555556,-0.715410665,-0.851178941,-0.915421104
1.4,-0.91227422,-1.109865416,-1.174958843
1.404444444,-1.04318617,-0.589417126,-0.847375673
1.408888889,-0.978415197,-1.045095958,-0.653659289
1.413333333,-0.781949331,-1.175486568,-1.175808392
1.417777778,-0.585937999,-0.719742015,-1.565933508
1.422222222,-1.04318617,-1.241041569,-1.238942428
1.426666667,-0.978415197,-1.175486568,-1.306002037
1.431111111,-1.042599108,-1.11156623,-1.044633954
1.435555556,-0.588030832,-0.851178941,-0.914309066
1.44,-1.237891049,-1.110716681,-0.783984177
1.444444444,-0.715410665,-0.916798182,-1.43560862
1.448888889,-0.782798881,-0.981372586,-0.783984177
1.453333333,-0.782798881,-0.850066903,-1.174107579
1.457777778,-0.91227422,-1.241041569,-0.783984177
1.462222222,-1.237891049,-0.850066903,-1.044633954
1.466666667,-1.172923997,-1.110716681,-1.044633954
1.471111111,-0.65064167,-0.913655762,-0.915421104
