Test ,20220705_1515_4folds_sample2,20220705_1518_4folds_sample2,20220705_1521_4folds_sample2,20220705_1526_4folds_sample0,20220705_1529_4folds_sample0,20220705_1531_4folds_sample0,20220705_1548_4folds_sample3_metadata,20220705_1550_4folds_sample3
dV (ml),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa)
0.427555556,-1.501233615,-1.103302872,-1.564687319,-1.175348477,-1.435735766,-1.107302248,-1.886953119,-1.433573774
0.430444444,-1.238218033,-1.039255919,-1.107104885,-1.239266464,-1.367295838,-1.043124879,-1.826447943,-1.629978509
0.433333333,-0.846651277,-0.911355511,-1.432193989,-1.630044165,-1.495583727,-1.111367842,-2.019183166,-1.628142779
0.436222222,-1.306730331,-0.712131042,-1.043124879,-1.694223551,-1.760303398,-1.434296709,-1.628011337,-1.497752169
0.439111111,-1.238218033,-1.171742799,-1.171149485,-1.175348477,-1.429236688,-1.369986871,-1.628011337,-1.10658034
0.442,-1.112423021,-1.165243722,-1.370184035,-1.236905228,-1.369525698,-0.65195305,-1.364864113,-1.495781091
0.444888889,-0.785430777,-1.494474701,-0.981765094,-1.365061476,-1.499784931,-1.173515489,-1.628011337,-1.560088144
0.447777778,-0.977173529,-0.972912262,-1.368017681,-1.106514618,-1.696123054,-0.850980553,-1.563898663,-1.565798166
0.450666667,-1.046080554,-1.039255919,-1.173515489,-1.56592941,-1.495583727,-1.043124879,-1.694223551,-1.626303342
0.453555556,-0.918311389,-1.103302872,-1.239859147,-1.55982486,-1.497686448,-0.914964129,-1.499850586,-1.497752169
0.456444444,-1.308892323,-1.103302872,-1.695077929,-1.497686448,-1.497686448,-1.30574183,-1.886953119,-1.626303342
0.459333333,-0.918311389,-1.039255919,-1.301671737,-1.563898663,-1.365061476,-0.779977655,-1.888792556,-1.303248886
0.462222222,-1.306730331,-0.842521652,-0.981765094,-1.497686448,-1.497686448,-1.043124879,-1.300819513,-1.234736587
0.465111111,-1.046080554,-1.231590761,-1.239859147,-1.170494624,-1.690413033,-0.779977655,-1.499850586,-1.429499972
0.468,-1.43705522,-0.712131042,-1.432193989,-1.888858278,-1.690413033,-1.107302248,-1.756430868,-1.369460043
0.470888889,-1.178698678,-1.364084091,-1.560741178,-1.628077058,-1.694223551,-0.524186429,-1.888792556,-1.690676317
